id,username,text,sentiment,textblob,accountAge
0,Huseyin1,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,5
1,ğŸ‡¬ğŸ‡§Amazing Prizzini,LeftofCntrfield jbouie nberlat adamgurri Maybe they think Elon Musk has a bunch of robots ready to teach our kids or something,0.3612,0.2,13
2,Big Rock Candy Mountain,PramilaJayapal Elon Musk is saving the planet creating high paying jobs and pays 11000000000 in taxes this ye httpstcompvE4oMzX6,0.296,0.16,2
3,YXGLA,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,7
4,ElonMuskAnnounces,Publicityhungry futurist Elon Musk is discussing a breakthrough collaborative robots,0.0,0.0,5
5,Nallely,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,7
6,Daniel C Trenado,RT zerohedge Elon Musk Predicts A Recession As Soon As Spring Or Summer 2022 But Not Later Than 2023 httpstco39Q62SWKcn,-0.2263,0.0,13
7,James Chartraw,RT JuuustinBrown AamonHawk If I may offer a little dessert after the feature presentation of course Elon Musk goes on The Bernie Sa,0.0,-0.1875,11
8,Sandy Skal-Gerlock,RT LorenaSGonzalez I am officially adding known for fbombs against Trump amp Elon Musk to my bio Thank you Fox News ,0.6486,0.0,13
9,Francisco Gomez,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,1
10,radenâ·,Elon Musk kt idup di simulasi masmba httpstconMtbeHFZhd,0.0,0.0,4
11,karizma,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,2
12,Joe Mundell,RT TeslaStars Elon Musks net worth decreased by 87bn yesterday Waiting for RBReich to tweet about it  httpstcolU28MEJVq7,0.2263,-0.03333333333333335,9
13,"Le Grand ProcÃ¨s - 46, rue Notre-Dame des Champs",RT Aureli1enGiraux Macron se prend pour Bernard Arnault Jeff Bezos ou encore Elon Musk et Franois Pinault Les multimilliardaires a,0.0,0.0,1
14,Nurayzat Johariâ„¢,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,10
15,Rick J Rocha,RT blinkist When hes not building rockets boring tunnels beneath Los Angeles or sending cars into space Elon Musk reads a lot Here a,0.2411,-1.0,8
16,Ravi Chandra,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,8
17,Joe Mundell,RT TeslaStars Elon Musks net worth decreased by 107bn today Waiting for RBReich to tweet about it  httpstcog0o6Kq6Wiv,0.2263,-0.03333333333333335,9
18,CigarEvents.com #DOGE #DOGEARMY,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,13
19,Sierra Burkhart,RT TheGrinns the hunger games but with all the famous billionaires oh shit jeff bezos impaled elon musk with a spear good lord bill,-0.3716,0.3333333333333333,7
20,john connor ğŸ‡ºğŸ‡¸,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,1
21,Crist Jarrett ğŸ¤ŸğŸ¼,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,13
22,Christie Mella Symanski,AntWadley325 Hoping they are next ones to be released as Triple H and Shawn Michaels making moves paving the way t httpstcoig1zuP2ir5,0.4215,0.0,3
23,ETH,ultrattom2 no fr everything mark zuckerberg and elon musk have been doing recently terrifies me,-0.7003,0.0,2
24,â„“ÏƒÏƒÎ·Ñ”Ñƒ Ñ‚Ï…Î·Ñ” Ñ‚Ğ½Ñ”Ğ¼Ñ” (xÄ±É¯ÇÉ¹ dÉÉ¹Ê‡),Machine Gun Kelly has more sophisticated taste in women than Elon Musk and the juxtaposition of their recent roman httpstcosXYwS7V5zs,0.3597,0.3333333333333333,8
25,Lucas Bustos,RT nicolupo Me da mucha culpa poner el aire acondicionado antes del medioda mientras Elon Musk se limpia el culo con un oso panda,0.0,0.0,11
26,Emelie,Elon Musk r vaccinerad mot Corona s om inte alla aktiegrabbar ocks gr det nu s r de inte i  the finance  st httpstcolFC2a4IShw,0.0,0.0,9
27,19H1H3H4H105,RT SeYDuNa21 5Emine Erdoganin kocasina bakiyorsunEscinsel elon Muskla sirdas olmusBir bakiyorsunSiyonist Bill Gates ile ORTAK,0.0,0.0,2
28,carol,ELON MUSKampamp httpstcoXaLZwQNTnw httpstcoXBYyVCYv7j,0.0,0.0,1
29,james,fly4dat Does this concern you  httpstcoIeS12GDVTb,0.0,0.0,1
30,Sheeta,RT doamuslims Elon Musk Tesla Opens Dealership in East Turkestan Despite Genocide of Uyghur Muslims Electric car maker Tesla headed,0.0,0.0,3
31,Test Account1,httpstcoSHqdpbP3PY  d4fb09fa0810499ea0fd83095be46318,0.0,0.0,8
32,steveleake100,RT ManicMarge Engineering is the closest thing to magic that exists in the world  Elon Musk,0.0,0.5,11
33,Nissa Khan,RT BeckettUnite Elon Musk does not work harder than NHS NursesWealth is not the result of hard work If it was the NHS would have a,0.4939,-0.19583333333333336,1
34,Erdooo,TOGG2022 Zenginler eer 1 tane sipari etmezseniz dmandan farknz yok u kaliteye b bakn  var Elon Musk da httpstco1UqDjpFeUP,0.0,0.0,1
35,B. Striven,When I first saw Tesla Cybertruck I was like WTF is this Now I cant wait to get my hands on the Quad motor var httpstcoRuTInPuRDI,-0.4648,-0.125,7
36,Sinan AydoÄŸan,Shiba Inu Elon Musk amp SHIB Holders predict 0001 per SHIB  Cryptocurr httpstcoLrKlVsidim YouTube araclyla,0.0,0.0,1
37,M can,RT HazarTandogan Elon Musk Trkiyeden birinin twitini beendi diye haber yaplyor ve bu heyecanla anlatlyor  Neden kendimizi k,0.0,0.0,3
38,MoodConnect,RT blinkist When hes not building rockets boring tunnels beneath Los Angeles or sending cars into space Elon Musk reads a lot Here a,0.2411,-1.0,2
39,Zoe Melisa,RT LorenaSGonzalez I am officially adding known for fbombs against Trump amp Elon Musk to my bio Thank you Fox News ,0.6486,0.0,11
40,Ian Miles Zedong (He/Him) ğŸŸ¨ğŸŸ¥,Elon Musk is in for some big trouble in Little ChinaTSLA TSLAQ httpstcoNyyWL2Bdvg httpstcoXE4Zmtnd3p,-0.4019,-0.12916666666666668,9
41,Berserksun ğŸ”‹ğŸ¤–ğŸ’ğŸ™ŒğŸš€ğŸŒ–,RT TeslaStars Elon Musks net worth decreased by 107bn today Waiting for RBReich to tweet about it  httpstcog0o6Kq6Wiv,0.2263,-0.03333333333333335,12
42,Diane3StrikesğŸŒŠ,RT UncvrngTheTruth Elon Musk said hes not Perverted enough to appear on CNN And yet here is Elon appearing with the worlds most per,0.0,0.25,10
43,Shaughn_A,RT JPetes6 Mark My Words Elon Musk Bucks Leading Smart People With Warning About Birth Rate httpstcoNPFE5XmOrs,-0.34,0.21428571428571427,4
44,SM0KEYğŸ¦ğŸ’¨,kirawontmiss Maybe if yall learned it you would have some bitches look at Elon musk,-0.5994,0.0,1
45,Test Account1,httpstcoSHqdpbxsro  5c8fca016d534b29b8139967d4f4e994,0.0,0.0,8
46,MÃ³nica E,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,7
47,horace bohnson,Happy birthday to Elon musk born on this day in 1971 httpstcog0cyQ5dfA3,0.5719,0.8,1
48,T2MK,RT MattWallace888 When it comes to Dogecoin Elon Musk has multiple MAJOR secret plans up his sleeve  TRUST THE PROCESSES https,0.8087,0.015625,1
49,Enrique Martinez,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,11
50,T2MK,RT DianaKFletcher Press RETWEET if you are excited to see the secret Dogecoin plans Matt Wallace and Elon Musk have been working on for,0.34,-0.012500000000000011,1
51,DREAA âœ¨,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,7
52,Genga,RT blackhatwizardd Elon Musk is single handedly the largest value creator of all time and somehow these nerds love to hate on him specifi,0.4404,-0.12380952380952381,12
53,Diana Fletcher âš ï¸,RT MattWallace888 DianaKFletcher Just to be clear her saying plans is not referencing a combined plan between Elon Musk and IHe is,0.3818,0.10000000000000002,5
54,Dogesmith,RT MrStevenSteele Dogecoin is fundamentally better than anything else Ive seen just by accident  Elon Musk,0.4404,0.5,13
55,LoveLiteracy,RT UncvrngTheTruth Elon Musk said hes not Perverted enough to appear on CNN And yet here is Elon appearing with the worlds most per,0.0,0.25,11
56,Hannah Marieâ™»ï¸,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,8
57,Nan,RT TeslaStars Elon Musks net worth decreased by 107bn today Waiting for RBReich to tweet about it  httpstcog0o6Kq6Wiv,0.2263,-0.03333333333333335,12
58,wendolen,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,14
59,å¥¥é»›ä¸½,RT claudi 2h du mat je fais des lettres de motivation pendant quElon Musk dort dans des draps en satin avec 300milliards de dollars,0.34,0.0,7
60,Mohamed Sagna,RT ManicMarge Engineering is the closest thing to magic that exists in the world  Elon Musk,0.0,0.5,10
61,Xadro,RT BriseLord bitgertbrise taking over cryptoSo which project will list on our exchange amp then be available on our blockchain first,0.0,0.4,11
62,Hans ğŸ’ğŸ™ŒğŸš€ğŸ¦ğŸ”‹ğŸ›¡â˜€â‚¿ÎÆ‰ğŸğŸ•‰,RT TeslaAndDoge Last Thursday Elon Musk tweeted that he expects a global recession to start in the next 3 to 12 monthsDo you agree,-0.0772,0.0,13
63,Dogesmith,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,13
64,Dean Zynda,RT IsabellaMDeLuca Elon Musk recently said in an interview thatWokeness is a prevalent mind virus and arguably one of the biggest th,-0.25,0.0,1
65,Stan Spak,RT UncvrngTheTruth Elon Musk said hes not Perverted enough to appear on CNN And yet here is Elon appearing with the worlds most per,0.0,0.25,7
66,pedros woman,kayakhan elon musk has hacked u i kno it,-0.4019,0.0,6
67,Miles J. Edwards,An Arizona Senate candidate labels Musk as the richest AfricanAmericanBlake Master was a guest on Foxs Tucker httpstcoiLdFiNw2uC,0.5267,0.0,10
68,ATL News,An Arizona Senate candidate labels Musk as the richest AfricanAmericanBlake Master was a guest on Foxs Tucker httpstcoVnUnV676LV,0.5267,0.0,13
69,Bladdyblah #BoycottDelta #Boosted #WearAnN95,murchiston Ooh good point I guess it would be the people in power ahem Elon Musk but politicians dont seem t httpstco50eZKwCdcR,0.2382,0.7,9
70,shailesh,Rules and regulations should have a garbage collector Elon Musk Makes sense rules should have an expiry dateclause,0.0,0.0,13
71,T2MK,RT MattWallace888 BillyM2k DianaKFletcher Just to be clear her saying plans is not referencing a combined plan between Elon Musk and,0.3818,0.10000000000000002,1
72,T2MK,RT MattWallace888 DianaKFletcher Just to be clear her saying plans is not referencing a combined plan between Elon Musk and IHe is,0.3818,0.10000000000000002,1
73,ğ‘–ğ‘›ğ‘¡ğ‘’ğ‘Ÿğ‘ ğ‘¡ğ‘’ğ‘™ğ‘™ğ‘ğ‘Ÿ,RT claudi 2h du mat je fais des lettres de motivation pendant quElon Musk dort dans des draps en satin avec 300milliards de dollars,0.34,0.0,9
74,Rugal,gapro96 luckinmusic OctavioOcto billy987321654 bennyatjets FluffyPawpads tdzryan anneackles enotonik O e httpstcoqQb6mXNqC3,0.0,0.0,5
75,Miguel Salles,felipeneto Sr felipe neto sei que s um libertrio e essas energias negativas jamais podero parar sua energia pos httpstcogkLOy9c230,0.0,0.0,2
76,Epluribusunum,Elon Musk Says We Have to Be Excited About the Future httpstcoxnWlcRdJkM via YouTube,0.4003,0.1875,1
77,BeInCrypto | BR-PT,RT BeInCryptoBR  Basta um post do dono da Tesla no Twiter para movimentar o mercado seja para baixo ou para cima Shitcoins surgem e,-0.296,0.0,3
78,AURORA,RT HazarTandogan Elon Musk Trkiyeden birinin twitini beendi diye haber yaplyor ve bu heyecanla anlatlyor  Neden kendimizi k,0.0,0.0,2
79,Julie Rogers,Does Elon Musk have a plan with Amber Heard to skip Virginia httpstcoMnEm8AoXN7 via YouTube hahaha,0.5574,0.2,1
80,"Buddy3880309 âŒ on Parler, Gab, Clouthub",Havent heard a honest bitching about China LeBronhttpstcoS8fPiqQ5rq,-0.5862,0.6,12
81,Lia Rose ğŸŒ¹,RT DianaKFletcher Press RETWEET if you are excited to see the secret Dogecoin plans Matt Wallace and Elon Musk have been working on for,0.34,-0.012500000000000011,1
82,Gabriel TorresğŸ‘¨ğŸ½â€âš•ï¸ğŸ©º,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,12
83,JPetesğŸ‡ºğŸ‡¸,Mark My Words Elon Musk Bucks Leading Smart People With Warning About Birth Rate httpstcoNPFE5XmOrs,-0.34,0.21428571428571427,5
84,s,hausfath TheKouk This EV looks great Refuse to buy a Tesla from the evil Elon Musk,-0.3612,-0.09999999999999998,7
85,T2MK,RT MattWallace888 The Dogecoin foundation released an official statement alluding to a secret Starlink Dogecoin plan Elon Musk has,0.5093,0.0,1
86,MCG,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,7
87,Angel H â”,RT GunnelsWarren Elon Musk became 32600000000 richer TODAY and 279000000000 richer during the pandemic but the corporate media t,0.5267,0.0,8
